genre,Nintendo64,PlayStation,PlayStation3,Dreamcast,Xbox360,Wii,XboxOne,Switch,PlayStation2,PlayStation4,GameCube,Xbox,PC,WiiU,GameBoyAdvance,3DS,DS,PlayStationVita,PSP,XboxSeriesX,PlayStation5,Stadia
volleyball,0,1,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0
beat-'em-up,0,1,52,2,70,20,23,29,69,48,22,43,49,6,28,14,21,8,20,0,0,0
boxing,0,3,4,1,5,6,0,0,11,0,4,7,0,0,6,0,0,1,2,0,0,0
surf/wakeboard,0,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
motorcycle,1,5,9,1,16,3,1,0,17,3,5,12,10,0,6,0,0,0,2,0,0,0
alternative,1,10,17,6,27,14,1,0,48,3,21,31,22,0,15,0,9,2,5,0,0,0
submarine,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0
pet,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,4,1,0,0,0,0
combat,0,0,47,0,60,17,20,13,0,38,0,0,116,2,0,6,9,1,19,0,0,0
horseracing,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
turn-based,1,3,21,0,25,7,21,42,26,52,3,8,275,2,16,18,39,15,35,0,0,0
platformer,11,13,93,4,103,66,97,170,81,144,54,48,223,55,92,57,82,31,32,0,1,0
carcombat,0,2,8,2,6,0,0,0,10,0,2,4,9,1,2,1,0,0,6,0,0,0
rhythm,0,5,42,1,52,43,13,25,49,29,5,6,18,6,2,9,20,14,6,0,0,0
wrestling,1,3,14,2,19,5,7,1,19,8,8,9,0,0,9,1,3,0,6,0,0,0
survival,0,0,30,0,37,11,56,30,0,85,0,0,135,5,0,5,7,5,8,0,0,0
nature,0,1,1,2,3,5,1,0,6,3,0,3,1,0,1,0,1,1,0,0,0,0
demolitionderby,0,1,1,1,1,0,0,0,5,0,1,4,4,0,0,0,0,0,0,0,0,0
shoot-'em-up,0,0,38,0,67,12,40,57,0,54,0,0,62,5,0,14,15,13,9,0,0,0
real-time,1,0,16,1,33,8,19,9,14,29,4,8,484,3,1,1,15,4,7,0,0,2
icehockey,0,2,13,1,14,4,6,1,20,8,8,15,12,0,0,0,0,0,3,0,0,0
space,0,0,0,0,4,0,4,4,0,9,0,0,39,1,0,0,0,0,1,0,0,0
rail,1,0,2,2,3,3,2,3,5,9,0,4,3,2,2,2,2,1,0,0,0,0
gambling,0,0,1,0,10,0,0,0,7,1,0,6,5,0,1,0,2,0,4,0,0,0
rugby,0,0,1,0,2,0,1,0,4,2,0,2,1,0,0,0,0,0,0,0,0,0
olympicsports,0,1,3,3,6,8,0,0,5,0,0,2,5,1,1,1,4,0,0,0,0,0
third-person,2,5,88,4,117,25,46,26,85,73,25,58,287,3,8,6,22,6,29,0,0,0
