name,score,user score,critics,users,platform,rating
Bayonetta 2,91,89.0,80,1328,WiiU,83.37
Portal 2,95,91.0,52,7482,PC,83.31
God of War: Chains of Olympus,91,85.0,79,816,PSP,83.31
Guitar Hero II,92,84.0,69,146,PlayStation2,83.24
Rock Band 2,92,81.0,69,164,Xbox360,83.24
LIMBO,90,84.0,89,502,Xbox360,83.22
Shadow of the Colossus,91,91.0,77,1325,PlayStation2,83.19
Persona 4 Golden,93,86.0,61,1700,PlayStationVita,83.16
Fire Emblem: Three Houses,89,87.0,102,2276,Switch,83.13
Mass Effect 2,94,89.0,55,4972,PC,83.12
Bayonetta,90,81.0,86,718,Xbox360,83.07
The Elder Scrolls IV: Oblivion,94,81.0,54,3069,PC,83.01
Mass Effect,91,87.0,74,1913,Xbox360,82.99
Dead Space 2,90,87.0,83,791,Xbox360,82.91
Metal Gear Solid 3: Subsistence,94,91.0,53,657,PlayStation2,82.9
Grand Theft Auto: San Andreas,93,87.0,58,165,Xbox,82.88
Super Mario 3D Land,90,84.0,82,1239,3DS,82.85
Assassin's Creed II,90,88.0,82,1653,Xbox360,82.85
Final Fantasy XII,92,76.0,64,1432,PlayStation2,82.85
Fable II,89,66.0,95,2569,Xbox360,82.84
Rock Band 3,93,80.0,57,148,Xbox360,82.78
Braid,93,85.0,57,464,Xbox360,82.78
World of Warcraft,93,74.0,57,2934,PC,82.78
Assassin's Creed II,91,86.0,70,1747,PlayStation3,82.72
Batman: Arkham Asylum,91,89.0,70,1498,PlayStation3,82.72
Xenoblade Chronicles: Definitive Edition,89,89.0,92,886,Switch,82.71
Grand Theft Auto IV: The Lost and Damned,90,80.0,79,345,Xbox360,82.68
BioShock,94,88.0,51,1136,PlayStation3,82.68
Dark Souls II,91,81.0,69,1266,PlayStation3,82.65
Tom Clancy's Ghost Recon Advanced Warfighter,90,79.0,78,228,Xbox360,82.63
Super Mario Sunshine,92,85.0,61,756,GameCube,82.59
Company of Heroes,93,88.0,55,1336,PC,82.58
Metal Gear Solid 3: Snake Eater,91,91.0,68,1523,PlayStation2,82.58
Grand Theft Auto: Chinatown Wars,90,74.0,77,202,PSP,82.57
Trials Evolution,90,80.0,77,278,Xbox360,82.57
Sid Meier's Civilization IV,94,83.0,50,1070,PC,82.56
XCOM 2,88,73.0,104,1560,PC,82.52
Metroid Prime 2: Echoes,92,88.0,60,387,GameCube,82.51
Sekiro: Shadows Die Twice,90,81.0,76,3228,PlayStation4,82.51
Dragon Age: Origins,91,87.0,67,4378,PC,82.5
Final Fantasy VII Remake,87,81.0,126,6405,PlayStation4,82.49
Xenoblade Chronicles,92,92.0,59,1337,Wii,82.42
NieR: Automata,88,89.0,101,3751,PlayStation4,82.41
Nioh,88,83.0,100,2321,PlayStation4,82.37
Ratchet & Clank: Up Your Arsenal,91,91.0,65,493,PlayStation2,82.35
Guitar Hero,91,86.0,65,203,PlayStation2,82.35
Rome: Total War,92,91.0,58,1340,PC,82.33
The ICO & Shadow of the Colossus Collection,92,87.0,58,658,PlayStation3,82.33
Super Street Fighter IV,92,78.0,58,221,PlayStation3,82.33
Jade Empire,89,85.0,84,135,Xbox,82.32
The Chronicles of Riddick: Escape From Butcher Bay,89,88.0,84,99,Xbox,82.32
Super Mario Maker 2,88,85.0,98,751,Switch,82.29
Mario Kart DS,91,87.0,64,657,DS,82.27
Disco Elysium,91,84.0,64,804,PC,82.27
Overwatch,91,65.0,64,5896,PC,82.27
Microsoft Flight Simulator,91,72.0,64,1123,PC,82.27
L.A. Noire,89,79.0,83,951,Xbox360,82.27
Viewtiful Joe,93,83.0,52,138,GameCube,82.26
Burnout 3: Takedown,93,90.0,52,385,PlayStation2,82.26
Chrono Trigger,92,91.0,57,653,DS,82.23
The Legend of Zelda: Majora's Mask 3D,89,89.0,82,710,3DS,82.22
Marvel's Spider-Man,87,87.0,116,6051,PlayStation4,82.21
Ori and the Will of the Wisps,90,88.0,71,1440,XboxOne,82.19
Demon's Souls,89,89.0,81,1692,PlayStation3,82.17
Assassin's Creed: Brotherhood,89,84.0,81,824,Xbox360,82.17
Sid Meier's Civilization V,90,80.0,70,2736,PC,82.12
The Legend of Zelda: The Wind Waker HD,90,90.0,70,1281,WiiU,82.12
Dreams,89,87.0,80,1336,PlayStation4,82.11
BioShock 2,88,82.0,93,658,Xbox360,82.09
The Legend of Zelda: Link's Awakening,87,84.0,111,1135,Switch,82.06
Dead Space,89,87.0,79,902,Xbox360,82.06
FIFA Soccer 12,90,68.0,69,346,Xbox360,82.05
Guild Wars 2,90,81.0,69,3065,PC,82.05
Guitar Hero II,92,81.0,55,236,Xbox360,82.04
Dead Space 2,89,86.0,78,632,PlayStation3,82.0
L.A. Noire,89,78.0,78,1144,PlayStation3,82.0
Heavy Rain,87,78.0,107,3105,PlayStation3,81.93
The Beatles: Rock Band,89,85.0,76,130,Xbox360,81.89
