name,score,user score,critics,users,platform,rating
Star Wars: Battlefront II,78,86.0,24,2986,PC,82.18
Final Fantasy X,92,89.0,53,1673,PlayStation2,82.18
Divinity: Original Sin II,93,88.0,72,1946,PC,82.14
Mario Kart 8,88,88.0,82,1917,WiiU,82.08
Grand Theft Auto V,97,84.0,66,5899,PlayStation4,82.08
Fire Emblem: Three Houses,89,87.0,102,2276,Switch,82.03
The Elder Scrolls V: Skyrim,94,83.0,32,11301,PC,82.0
Super Smash Bros. Ultimate,93,86.0,99,2819,Switch,81.99
Divinity: Original Sin,87,87.0,59,2218,PC,81.93
Metroid Prime,97,92.0,70,1113,GameCube,81.91
Life is Strange,83,86.0,15,2725,PC,81.88
Deus Ex: Human Revolution,90,85.0,52,3582,PC,81.87
Cities: Skylines,85,88.0,60,1815,PC,81.84
The Legend of Zelda: The Wind Waker,96,90.0,80,1370,GameCube,81.83
The Elder Scrolls III: Morrowind,89,89.0,30,1561,PC,81.83
Uncharted: The Nathan Drake Collection,86,86.0,78,2657,PlayStation4,81.8
Terraria,83,87.0,29,2137,PC,81.78
Half-Life 2: Episode One,87,86.0,61,2613,PC,81.74
Batman: Arkham Asylum,91,89.0,70,1498,PlayStation3,81.62
Uncharted 3: Drake's Deception,92,84.0,97,4611,PlayStation3,81.61
Call of Duty 4: Modern Warfare,92,85.0,40,3197,PC,81.56
Age of Empires II: The Age of Kings,92,91.0,21,1165,PC,81.55
Undertale,92,84.0,43,4446,PC,81.53
Planescape: Torment,91,92.0,22,1049,PC,81.53
Tomb Raider,86,84.0,18,4412,PC,81.51
Dishonored,91,84.0,29,4336,PC,81.47
Kingdom Hearts II,87,90.0,64,1281,PlayStation2,81.46
The Legend of Zelda: The Wind Waker HD,90,90.0,70,1281,WiiU,81.46
Final Fantasy IX,94,90.0,22,1280,PlayStation,81.45
Metro: Last Light,82,85.0,71,3080,PC,81.45
Xenoblade Chronicles 2,83,87.0,92,1956,Switch,81.42
DOOM,85,85.0,44,3039,PC,81.41
Assassin's Creed II,90,88.0,82,1653,Xbox360,81.4
Silent Hill 2,89,92.0,34,1024,PlayStation2,81.37
Hollow Knight,87,91.0,27,1122,PC,81.33
Mass Effect,91,87.0,74,1913,Xbox360,81.33
Starcraft,88,91.0,15,1105,PC,81.23
Tengami,70,97.0,15,675,WiiU,81.12
To the Moon,81,89.0,26,1356,PC,81.1
Metal Gear Solid 2: Sons of Liberty,96,88.0,42,1545,PlayStation2,81.08
Bayonetta 2,91,89.0,80,1328,WiiU,80.99
Journey,92,88.0,78,1517,PlayStation3,80.99
South Park: The Stick of Truth,85,86.0,48,2089,PC,80.93
The Witcher: Enhanced Edition,86,85.0,30,2551,PC,80.86
Superliminal,75,96.0,8,695,Switch,80.84
Batman: Arkham City,94,87.0,87,1682,Xbox360,80.77
Ori and the Will of the Wisps,90,88.0,71,1440,XboxOne,80.73
Grand Theft Auto V,97,83.0,50,4568,PlayStation3,80.71
Dark Souls III,89,84.0,56,3141,PC,80.68
Diablo II,88,88.0,34,1424,PC,80.68
Mario Kart 8 Deluxe,92,86.0,95,1952,Switch,80.66
Left 4 Dead 2,89,84.0,55,3066,PC,80.61
Counter-Strike: Condition Zero,65,87.0,33,1610,PC,80.57
Max Payne 2: The Fall of Max Payne,86,89.0,46,1219,PC,80.53
Days Gone,71,82.0,109,6993,PlayStation4,80.52
God of War II,93,89.0,70,1215,PlayStation2,80.51
Far Cry 3,88,83.0,43,4103,PC,80.49
Gothic II,79,90.0,20,1076,PC,80.45
Grand Theft Auto V,97,83.0,58,3905,Xbox360,80.38
BioShock Infinite,94,85.0,27,2207,PlayStation3,80.37
BioShock Infinite,93,86.0,33,1814,Xbox360,80.37
Company of Heroes,93,88.0,55,1336,PC,80.36
Hollow Knight,90,89.0,27,1174,Switch,80.32
Assassin's Creed II,91,86.0,70,1747,PlayStation3,80.21
